Address,Price,Area,Measurement,Property Type,URL
1051 Kelley Lane Spann Hill Rd,189900,72.16,acres,LOT,https://www.zillow.com/homedetails/1051-Kelley-Lane-Spann-Hill-Rd-Monticello-KY-42633/2055488677_zpid/
0 Bugwood Rd,106000,48.0,acres,LOT,https://www.zillow.com/homedetails/0-Bugwood-Rd-Monticello-KY-42633/2067850527_zpid/
22 Highway 789,1,53.0,acres,LOT,https://www.zillow.com/homedetails/22-Highway-789-Monticello-KY-42633/343859885_zpid/
0 Chesnut Grove Road Off,325800,181.06999540863177,acres,LOT,https://www.zillow.com/homedetails/0-Chesnut-Grove-Road-Off-Monticello-KY-42633/2057633570_zpid/
8 Cumberland Xing,9500,2.1899908172635447,acres,LOT,https://www.zillow.com/homedetails/8-Cumberland-Xing-Monticello-KY-42633/2063513774_zpid/
100 Lonesome Rd,215000,100.0,acres,LOT,https://www.zillow.com/homedetails/100-Lonesome-Rd-Monticello-KY-42633/2054336380_zpid/
826 Castle St,190000,77.48999081726355,acres,LOT,https://www.zillow.com/homedetails/826-Castle-St-Monticello-KY-42633/2054118765_zpid/
0 Camp Earl Wallace Rd,475000,53.0,acres,LOT,https://www.zillow.com/homedetails/0-Camp-Earl-Wallace-Rd-Monticello-KY-42633/343847703_zpid/
988 Blue Hole Rd,299900,304.0,acres,LOT,https://www.zillow.com/homedetails/988-Blue-Hole-Rd-Monticello-KY-42633/2076934162_zpid/
LOT-131C Cumberland Xing,19900,6.019995408631773,acres,LOT,https://www.zillow.com/homedetails/LOT-131C-Cumberland-Xing-Monticello-KY-42633/2054281120_zpid/
87 Cumberland Xing,9900,0.8,acres,LOT,https://www.zillow.com/homedetails/87-Cumberland-Xing-Monticello-KY-42633/2057396601_zpid/
14 Lakepoint View Rd,24000,6.339990817263544,acres,LOT,https://www.zillow.com/homedetails/14-Lakepoint-View-Rd-Monticello-KY-42633/2077821360_zpid/
21 Jim Boston Rd,136500,21.060009182736454,acres,LOT,https://www.zillow.com/homedetails/21-Jim-Boston-Rd-Monticello-KY-42633/2053832044_zpid/
182 Acres Hwy #674,549900,182.0,acres,LOT,https://www.zillow.com/homedetails/182-Acres-Hwy-674-Monticello-KY-42633/2057543212_zpid/
17 Cumberland Xing,18900,1.8699954086317723,acres,LOT,https://www.zillow.com/homedetails/17-Cumberland-Xing-Monticello-KY-42633/2063511982_zpid/
1843 Highway 2393 #17,59900,0.64,acres,LOT,https://www.zillow.com/homedetails/1843-Highway-2393-17-Monticello-KY-42633/2053585868_zpid/
LOT 8 Rocky Rd,54900,2.1399999999999997,acres,LOT,https://www.zillow.com/homedetails/LOT-8-Rocky-Rd-Monticello-KY-42633/2052923238_zpid/
10 Ritner Rd,483000,110.0,acres,LOT,https://www.zillow.com/homedetails/10-Ritner-Rd-Monticello-KY-42633/2068420655_zpid/
300 Danny Hughes Rd,439900,154.0,acres,LOT,https://www.zillow.com/homedetails/300-Danny-Hughes-Rd-Monticello-KY-42633/339899607_zpid/
0 Highway 167,13000,2.9699954086317724,acres,LOT,https://www.zillow.com/homedetails/0-Highway-167-Monticello-KY-42633/2056416280_zpid/
4-7 Cart Bell Ridge Rd,31500,3.0,acres,LOT,https://www.zillow.com/homedetails/4-7-Cart-Bell-Ridge-Rd-Monticello-KY-42633/2069077700_zpid/
3263 Lower Turkey Creek Rd,115000,9.139990817263545,acres,LOT,https://www.zillow.com/homedetails/3263-Lower-Turkey-Creek-Rd-Monticello-KY-42633/2060817145_zpid/
LOT 131a&b Cumberland Shrs,30000,6.75,acres,LOT,https://www.zillow.com/homedetails/LOT-131ab-Cumberland-Shrs-Monticello-KY-42633/2054332956_zpid/
3041 Highway 3285,370000,53.41999540863177,acres,LOT,https://www.zillow.com/homedetails/3041-Highway-3285-Monticello-KY-42633/2052916251_zpid/
181 Cedar Bluff Dr,39500,1.0,acres,LOT,https://www.zillow.com/homedetails/181-Cedar-Bluff-Dr-Monticello-KY-42633/2052962465_zpid/
1843 Highway 2393 #25,59900,0.71,acres,LOT,https://www.zillow.com/homedetails/1843-Highway-2393-25-Monticello-KY-42633/2053657249_zpid/
878 Horizon Loop,575000,40.0,acres,LOT,https://www.zillow.com/homedetails/878-Horizon-Loop-Monticello-KY-42633/2067077346_zpid/
0 Blackberry Ln,22500,0.8899908172635446,acres,LOT,https://www.zillow.com/homedetails/0-Blackberry-Ln-Monticello-KY-42633/2058009470_zpid/
410 Clayton Lyons Rd,17500,2.2,acres,LOT,https://www.zillow.com/homedetails/410-Clayton-Lyons-Rd-Monticello-KY-42633/234310914_zpid/
1430 Highway 1479,204900,16.2,acres,LOT,https://www.zillow.com/homedetails/1430-Highway-1479-Monticello-KY-42633/2052981808_zpid/
4 E Highway 90 Byp,15900,0.5600091827364555,acres,LOT,https://www.zillow.com/homedetails/4-E-Highway-90-Byp-Monticello-KY-42633/2053022362_zpid/
1049 Golce Dean Rd,84900,5.5100091827364555,acres,LOT,https://www.zillow.com/homedetails/1049-Golce-Dean-Rd-Monticello-KY-42633/2069927674_zpid/
1 E Highway 90 Byp,15900,0.5399908172635446,acres,LOT,https://www.zillow.com/homedetails/1-E-Highway-90-Byp-Monticello-KY-42633/2082098304_zpid/
8 Lighthouse Dr,35000,0.55,acres,LOT,https://www.zillow.com/homedetails/8-Lighthouse-Dr-Monticello-KY-42633/2068643720_zpid/
0 Oakley Dr,9500,0.38000459136822773,acres,LOT,https://www.zillow.com/homedetails/0-Oakley-Dr-Monticello-KY-42633/2058010163_zpid/
LOT 66 Sandstone Point Trl,17900,1.0,acres,LOT,https://www.zillow.com/homedetails/LOT-66-Sandstone-Point-Trl-Monticello-KY-42633/2052933944_zpid/
LOT 74 Sandstone Point Trl,15000,1.5300045913682276,acres,LOT,https://www.zillow.com/homedetails/LOT-74-Sandstone-Point-Trl-Monticello-KY-42633/2055953206_zpid/
32 Sandstone Point Trl,39900,1.0699954086317722,acres,LOT,https://www.zillow.com/homedetails/32-Sandstone-Point-Trl-Monticello-KY-42633/2052934610_zpid/
57 Cumberland Xing,40000,0.8399908172635445,acres,LOT,https://www.zillow.com/homedetails/57-Cumberland-Xing-Monticello-KY-42633/2068002015_zpid/
Track 5 Hickory Point,42500,3.0,acres,LOT,https://www.zillow.com/homedetails/Track-5-Hickory-Point-Monticello-KY-42633/340727411_zpid/
527 Shaw Valley Rd,45000,5.1,acres,LOT,https://www.zillow.com/homedetails/527-Shaw-Valley-Rd-Monticello-KY-42633/115485967_zpid/
